Player_ID,Wage,Age,Club,League,Nation,Position,Apps,Caps,Caps_per_App,Apps_per_Year,International_Exposure
P00120,7983000.0,24,Juventus,Serie A,ITA,Midfielder,178,37,0.20786516853932585,22.25,4.625
P00121,7983000.0,36,Inter,Serie A,BIH,Forward,576,124,0.2152777777777778,28.8,6.2
P00122,7983000.0,25,Inter,Serie A,ITA,Midfielder,224,39,0.17410714285714285,24.88888888888889,4.333333333333333
P00123,7800000.0,33,Chelsea,Premier League,ESP,Defender,499,40,0.08016032064128256,29.352941176470587,2.3529411764705883
P00124,7800000.0,23,Chelsea,Premier League,GER,Forward,180,28,0.15555555555555556,25.714285714285715,4.0
P00125,7800000.0,26,Chelsea,Premier League,ENG,Midfielder,132,10,0.07575757575757576,13.2,1.0
P00126,7800000.0,28,Chelsea,Premier League,CRO,Midfielder,317,81,0.2555205047318612,26.416666666666668,6.75
P00127,7800000.0,21,Chelsea,Premier League,UKR,Midfielder,49,5,0.10204081632653061,9.8,1.0
P00128,7800000.0,23,Chelsea,Premier League,USA,Midfielder,169,51,0.30177514792899407,24.142857142857142,7.285714285714286
P00129,7800000.0,22,Man UFC,Premier League,BRA,Midfielder,91,9,0.0989010989010989,15.166666666666666,1.5
P00130,7738000.0,19,Barcelona,La Liga,ESP,Midfielder,90,12,0.13333333333333333,30.0,4.0
P00131,7738000.0,28,Juventus,Serie A,ARG,Midfielder,215,44,0.20465116279069767,17.916666666666668,3.6666666666666665
P00132,7733000.0,27,Juventus,Serie A,FRA,Midfielder,260,29,0.11153846153846154,23.636363636363637,2.6363636363636362
P00133,7621000.0,27,Chelsea,Premier League,ESP,Goalkeeper,272,11,0.04044117647058824,24.727272727272727,1.0
P00134,7397000.0,30,Barcelona,La Liga,GER,Goalkeeper,348,28,0.08045977011494253,24.857142857142858,2.0
P00135,7397000.0,29,A. Madrid,La Liga,BEL,Defender,294,57,0.19387755102040816,22.615384615384617,4.384615384615385
P00136,7397000.0,27,A. Madrid,La Liga,ESP,Defender,230,5,0.021739130434782608,20.90909090909091,0.45454545454545453
P00137,7308000.0,28,Man UFC,Premier League,AUT,Midfielder,373,64,0.17158176943699732,31.083333333333332,5.333333333333333
P00138,7308000.0,28,Borussia Dortmund,Bundesliga,GER,Defender,285,37,0.12982456140350876,23.75,3.0833333333333335
P00139,7280000.0,23,Liverpool,Premier League,URU,Forward,109,11,0.10091743119266056,15.571428571428571,1.5714285714285714
P00140,7280000.0,25,Liverpool,Premier League,POR,Forward,237,27,0.11392405063291139,26.333333333333332,3.0
P00141,7280000.0,31,Liverpool,Premier League,CMR,Defender,328,27,0.08231707317073171,21.866666666666667,1.8
P00142,7280000.0,25,Man UFC,Premier League,NED,Midfielder,187,19,0.10160427807486631,20.77777777777778,2.111111111111111
P00143,7222000.0,29,PSG,Ligue 1 Uber Eats,ESP,Defender,212,11,0.05188679245283019,16.307692307692307,0.8461538461538461
P00144,7182000.0,28,Capitoline,Serie A,ARG,Forward,343,34,0.09912536443148688,28.583333333333332,2.8333333333333335
P00145,7173000.0,36,A. Bilbao,La Liga,ESP,Midfielder,579,2,0.0034542314335060447,28.95,0.1
P00146,6909000.0,21,R. Madrid,La Liga,BRA,Forward,124,5,0.04032258064516129,24.8,1.0
P00147,6909000.0,32,R. Madrid,La Liga,ESP,Defender,360,22,0.06111111111111111,22.5,1.375
P00148,6897000.0,27,A. Madrid,La Liga,ESP,Defender,212,16,0.07547169811320754,19.272727272727273,1.4545454545454546
P00149,6878000.0,22,Sporting CP,Primiera Liga,POR,Forward,140,7,0.05,23.333333333333332,1.1666666666666667
P00150,6878000.0,24,FC Bayern,Bundesliga,MAR,Defender,157,12,0.07643312101910828,19.625,1.5
P00151,6878000.0,21,FC Bayern,Bundesliga,CAN,Defender,169,32,0.1893491124260355,33.8,6.4
P00152,6760000.0,29,Man UFC,Premier League,BRA,Midfielder,239,28,0.11715481171548117,18.384615384615383,2.1538461538461537
P00153,6760000.0,32,Everton,Premier League,SEN,Midfielder,343,88,0.2565597667638484,21.4375,5.5
P00154,6760000.0,27,Liverpool,Premier League,GUI,Midfielder,216,50,0.23148148148148148,19.636363636363637,4.545454545454546
P00155,6760000.0,28,Man City,Premier League,ESP,Defender,310,15,0.04838709677419355,25.833333333333332,1.25
P00156,6760000.0,25,West Ham,Premier League,BRA,Midfielder,155,35,0.22580645161290322,17.22222222222222,3.888888888888889
P00157,6760000.0,29,Crystal Palace,Premier League,CIV,Midfielder,411,26,0.06326034063260341,31.615384615384617,2.0
P00158,6725000.0,26,R. Madrid,La Liga,ESP,Midfielder,198,11,0.05555555555555555,19.8,1.1
P00159,6706000.0,32,AS Monaco,Ligue 1 Uber Eats,FRA,Forward,378,19,0.05026455026455026,23.625,1.1875
P00160,6665000.0,19,R. Madrid,La Liga,FRA,Midfielder,102,3,0.029411764705882353,34.0,1.0
P00161,6630000.0,34,Juventus,Serie A,ARG,Midfielder,461,122,0.2646420824295011,25.61111111111111,6.777777777777778
P00162,6552000.0,26,Liverpool,Premier League,BRA,Midfielder,132,22,0.16666666666666666,13.2,2.2
P00163,6500000.0,30,Aston Villa,Premier League,BRA,Midfielder,332,63,0.1897590361445783,23.714285714285715,4.5
P00164,6500000.0,30,West Ham,Premier League,ENG,Forward,311,3,0.00964630225080386,22.214285714285715,0.21428571428571427
P00165,6500000.0,29,Liverpool,Premier League,ENG,Midfielder,255,35,0.13725490196078433,19.615384615384617,2.6923076923076925
P00166,6483000.0,31,OGC Nice,Ligue 1 Uber Eats,WAL,Midfielder,354,75,0.211864406779661,23.6,5.0
P00167,6466000.0,23,Barcelona,La Liga,URU,Defender,150,11,0.07333333333333333,21.428571428571427,1.5714285714285714
P00168,6466000.0,18,Barcelona,La Liga,ESP,Midfielder,41,10,0.24390243902439024,20.5,5.0
P00169,6448000.0,24,RB Leipzig,Bundesliga,FRA,Midfielder,156,6,0.038461538461538464,19.5,0.75
P00170,6448000.0,33,FC Bayern,Bundesliga,CMR,Forward,345,68,0.19710144927536233,20.294117647058822,4.0
P00171,6388000.0,32,Lazio,Serie A,ITA,Forward,384,55,0.14322916666666666,24.0,3.4375
P00172,6379000.0,26,Capitoline,Serie A,ITA,Midfielder,201,23,0.11442786069651742,20.1,2.3
P00173,6335000.0,24,Milan,Serie A,ALG,Midfielder,184,40,0.21739130434782608,23.0,5.0
P00174,6240000.0,29,Everton,Premier League,MLI,Midfielder,278,2,0.007194244604316547,21.384615384615383,0.15384615384615385
P00175,6240000.0,25,Nottm Forest,Premier League,ENG,Goalkeeper,149,1,0.006711409395973154,16.555555555555557,0.1111111111111111
P00176,6240000.0,21,Chelsea,Premier League,FRA,Defender,106,0,0.0,21.2,0.0
P00177,6240000.0,27,Everton,Premier League,COL,Defender,193,39,0.20207253886010362,17.545454545454547,3.5454545454545454
P00178,6240000.0,22,Man City,Premier League,ENG,Forward,104,16,0.15384615384615385,17.333333333333332,2.6666666666666665
P00179,6240000.0,24,Man UFC,Premier League,ARG,Defender,127,7,0.05511811023622047,15.875,0.875
P00180,6240000.0,29,LOSC,Ligue 1 Uber Eats,POR,Midfielder,233,29,0.12446351931330472,17.923076923076923,2.230769230769231
P00181,6240000.0,25,Arsenal,Premier League,UKR,Defender,132,52,0.3939393939393939,14.666666666666666,5.777777777777778
P00182,6240000.0,23,Arsenal,Premier League,NOR,Midfielder,242,43,0.17768595041322313,34.57142857142857,6.142857142857143
P00183,6240000.0,29,West Ham,Premier League,FRA,Goalkeeper,220,3,0.013636363636363636,16.923076923076923,0.23076923076923078
P00184,6240000.0,25,Arsenal,Premier League,BRA,Forward,212,56,0.2641509433962264,23.555555555555557,6.222222222222222
P00185,6240000.0,29,Aston Villa,Premier League,FRA,Defender,274,46,0.1678832116788321,21.076923076923077,3.5384615384615383
P00186,6240000.0,25,Leicester,Premier League,BEL,Midfielder,313,52,0.16613418530351437,34.77777777777778,5.777777777777778
P00187,6240000.0,28,Leicester,Premier League,POR,Defender,234,7,0.029914529914529916,19.5,0.5833333333333334
P00188,6240000.0,35,Tottenham,Premier League,FRA,Goalkeeper,559,139,0.24865831842576028,29.42105263157895,7.315789473684211
P00189,6240000.0,21,Bayer 04,Bundesliga,ENG,Defender,78,3,0.038461538461538464,15.6,0.6
P00190,6240000.0,36,Liverpool,Premier League,ENG,Defender,601,61,0.10149750415973377,30.05,3.05
P00191,6240000.0,22,Newcastle,Premier League,SWE,Forward,165,37,0.22424242424242424,27.5,6.166666666666667
P00192,6240000.0,25,Parthenope,Serie A,FRA,Midfielder,165,7,0.04242424242424243,18.333333333333332,0.7777777777777778
P00193,6190000.0,22,R. Madrid,La Liga,FRA,Midfielder,104,12,0.11538461538461539,17.333333333333332,2.0
P00194,6141000.0,26,R. Madrid,La Liga,ESP,Forward,269,29,0.10780669144981413,26.9,2.9
P00195,6069000.0,30,Inter,Serie A,NED,Defender,358,57,0.15921787709497207,25.571428571428573,4.071428571428571
P00196,6018000.0,26,FC Bayern,Bundesliga,FRA,Defender,191,45,0.2356020942408377,19.1,4.5
P00197,6014000.0,26,Borussia Dortmund,Bundesliga,GER,Midfielder,267,38,0.14232209737827714,26.7,3.8
P00198,5720000.0,27,Arsenal,Premier League,BEL,Defender,290,19,0.06551724137931035,26.363636363636363,1.7272727272727273
P00199,5720000.0,25,Leicester,Premier League,ENG,Midfielder,236,1,0.00423728813559322,26.22222222222222,0.1111111111111111
P00200,5720000.0,28,Everton,Premier League,ENG,Goalkeeper,334,45,0.1347305389221557,27.833333333333332,3.75
P00201,5720000.0,30,Wolves,Premier League,ESP,Midfielder,372,22,0.05913978494623656,26.571428571428573,1.5714285714285714
P00202,5720000.0,30,Arsenal,Premier League,ITA,Midfielder,395,44,0.11139240506329114,28.214285714285715,3.142857142857143
P00203,5720000.0,25,Arsenal,Premier League,SCO,Defender,170,32,0.18823529411764706,18.88888888888889,3.5555555555555554
P00204,5720000.0,23,Liverpool,Premier League,NED,Midfielder,131,7,0.05343511450381679,18.714285714285715,1.0
P00205,5720000.0,30,Man UFC,Premier League,ENG,Defender,204,27,0.1323529411764706,14.571428571428571,1.9285714285714286
P00206,5720000.0,29,Arsenal,Premier League,SUI,Midfielder,383,104,0.27154046997389036,29.46153846153846,8.0
P00207,5720000.0,27,Man City,Premier League,NED,Defender,182,27,0.14835164835164835,16.545454545454547,2.4545454545454546
P00208,5720000.0,27,Tottenham,Premier League,DEN,Midfielder,287,58,0.20209059233449478,26.09090909090909,5.2727272727272725
P00209,5720000.0,24,Chelsea,Premier League,ESP,Defender,190,1,0.005263157894736842,23.75,0.125
P00210,5604000.0,28,OGC Nice,Ligue 1 Uber Eats,ENG,Midfielder,249,33,0.13253012048192772,20.75,2.75
P00211,5604000.0,34,Sevilla,La Liga,CRO,Midfielder,545,106,0.1944954128440367,30.27777777777778,5.888888888888889
P00212,5588000.0,29,A. Madrid,La Liga,CTA,Midfielder,307,13,0.04234527687296417,23.615384615384617,1.0
P00213,5588000.0,23,Milan,Serie A,ESP,Forward,81,1,0.012345679012345678,11.571428571428571,0.14285714285714285
P00214,5587000.0,28,Parthenope,Serie A,POL,Midfielder,300,72,0.24,25.0,6.0
P00215,5587000.0,28,Juventus,Serie A,ITA,Defender,186,7,0.03763440860215054,15.5,0.5833333333333334
P00216,5587000.0,28,Inter,Serie A,ARG,Forward,250,17,0.068,20.833333333333332,1.4166666666666667
P00217,5582000.0,26,A. Madrid,La Liga,FRA,Defender,229,27,0.11790393013100436,22.9,2.7
P00218,5527000.0,29,Real Hispalis,La Liga,FRA,Forward,248,25,0.10080645161290322,19.076923076923077,1.9230769230769231
P00219,5527000.0,29,R. Madrid,La Liga,DOM,Forward,179,1,0.00558659217877095,13.76923076923077,0.07692307692307693
P00220,5527000.0,26,R. Madrid,La Liga,ESP,Defender,198,4,0.020202020202020204,19.8,0.4
P00221,5527000.0,31,R. Madrid,La Liga,ESP,Defender,340,9,0.026470588235294117,22.666666666666668,0.6
P00222,5460000.0,27,OGC Nice,Ligue 1 Uber Eats,CIV,Forward,240,32,0.13333333333333333,21.818181818181817,2.909090909090909
